SHOP_WEEK;SHOP_DATE;SHOP_WEEKDAY;SHOP_HOUR;QUANTITY;PROD_CODE;PROD_CODE_10;PROD_CODE_20;PROD_CODE_30;PROD_CODE_40;CUST_CODE;seg_1;seg_2;BASKET_ID;BASKET_SIZE;BASKET_PRICE_SENSITIVITY;BASKET_DOMINANT_MISSION;STORE_CODE;STORE_FORMAT;STORE_REGION;SPEND;BASKET_TYPE;SHOP_HOUR_GROUP
200741;2007-12-06;Thursday;13;1;PRD0903306;CL00022;DEP00007;G00003;D00001;CUST0000620091;BG;BU;994108700565467;M;UM;Fresh;STORE01359;LS;W02;1,2;Small Shop;Evening
200814;2008-05-30;Friday;21;3;PRD0904059;CL00079;DEP00022;G00007;D00002;CUST0000620241;BG;AT;994111200571105;L;MM;Fresh;STORE00008;MS;N01;6,36;Full Shop;Night
200646;2007-01-10;Wednesday;13;1;PRD0903722;CL00051;DEP00013;G00005;D00002;CUST0000131970;BG;BU;994104000237017;L;UM;Mixed;STORE02806;LS;S01;4,36;Top Up;Evening
200751;2008-02-14;Thursday;11;1;PRD0900066;CL00041;DEP00011;G00004;D00002;;;;994109700035722;L;MM;Grocery;STORE00665;LS;S02;0,96;Top Up;Afternoon
200630;2006-09-18;Monday;18;3;PRD0902606;CL00101;DEP00034;G00010;D00003;CUST0000474041;BG;DI;994102400466198;L;UM;Grocery;STORE02291;LS;N01;1,53;Top Up;Evening
200708;2007-04-20;Friday;18;3;PRD0900254;CL00001;DEP00001;G00001;D00001;CUST0000975003;CT;BU;994105400803077;L;MM;Fresh;STORE00241;MS;E01;2,55;Top Up;Evening
200729;2007-09-16;Sunday;12;1;PRD0900609;CL00128;DEP00046;G00013;D00003;CUST0000789963;CT;;994107500687687;L;MM;Mixed;STORE01365;MS;E01;0,55;Full Shop;Afternoon
200728;2007-09-07;Friday;11;1;PRD0901944;CL00160;DEP00054;G00016;D00003;;;;994107400006581;L;MM;Mixed;STORE01429;LS;E01;1,44;Full Shop;Afternoon
200648;2007-01-24;Wednesday;12;1;PRD0901383;CL00044;DEP00011;G00004;D00002;CUST0000155047;CT;DI;994104200257211;L;MM;Mixed;STORE02231;LS;E02;0,4;Full Shop;Afternoon
200731;2007-09-30;Sunday;9;1;PRD0904679;CL00017;DEP00005;G00003;D00001;CUST0000233088;BG;FN;994107700324448;L;LA;Fresh;STORE00234;MS;N01;0,54;Top Up;Afternoon
200808;2008-04-19;Saturday;10;1;PRD0902053;CL00089;DEP00025;G00008;D00002;CUST0000235374;CT;DI;994110600320622;L;MM;Mixed;STORE01280;MS;W01;0,76;Full Shop;Afternoon
200817;2008-06-18;Wednesday;15;1;PRD0903610;CL00143;DEP00050;G00014;D00003;CUST0000840972;CT;;994111500714087;M;UM;Fresh;STORE00920;LS;N03;0,62;Top Up;Evening
200651;2007-02-14;Wednesday;11;1;PRD0904051;CL00001;DEP00001;G00001;D00001;CUST0000061188;AZ;;994104500203462;L;MM;Mixed;STORE02426;LS;S02;0,95;Full Shop;Afternoon
200807;2008-04-08;Tuesday;10;1;PRD0900684;CL00043;DEP00011;G00004;D00002;CUST0000005086;AZ;CZ;994110500171509;M;UM;Fresh;STORE02474;LS;W01;0,28;Small Shop;Afternoon
200628;2006-09-07;Thursday;14;1;PRD0903400;CL00110;DEP00039;G00010;D00003;;;;994102200030015;L;LA;Mixed;STORE01490;LS;E01;0,92;Full Shop;Evening
200625;2006-08-18;Friday;16;1;PRD0900462;CL00067;DEP00019;G00007;D00002;CUST0000289515;BG;DI;994101900348679;L;UM;Fresh;STORE00422;MS;N03;2,23;Top Up;Evening
200701;2007-03-04;Sunday;16;1;PRD0901712;CL00078;DEP00022;G00007;D00002;;;;994104700053682;L;MM;Mixed;STORE02367;LS;E01;1,39;Full Shop;Evening
200638;2006-11-15;Wednesday;13;1;PRD0904145;CL00157;DEP00053;G00016;D00003;CUST0000973179;BG;BU;994103200781808;M;MM;Fresh;STORE00357;MS;W01;1,28;Small Shop;Evening
200621;2006-07-20;Thursday;18;1;PRD0900649;CL00140;DEP00049;G00014;D00003;CUST0000801786;AZ;CZ;994101500702619;L;LA;Fresh;STORE00072;MS;N02;0,75;Full Shop;Evening
200636;2006-11-01;Wednesday;10;3;PRD0903256;CL00063;DEP00019;G00007;D00002;;;;994103000137328;L;MM;Fresh;STORE01819;LS;W03;1,02;Top Up;Afternoon
200743;2007-12-19;Wednesday;19;1;PRD0900121;CL00063;DEP00019;G00007;D00002;CUST0000034022;CT;BU;994108900208687;M;MM;Fresh;STORE01616;LS;N02;0,98;Small Shop;Night
200642;2006-12-15;Friday;17;1;PRD0902554;CL00170;DEP00056;G00017;D00004;CUST0000739513;CT;;994103600640313;L;MM;Mixed;STORE02268;MS;N03;0,86;Full Shop;Evening
200621;2006-07-21;Friday;17;1;PRD0901496;CL00106;DEP00037;G00010;D00003;CUST0000656074;CT;AT;994101500608640;L;MM;Mixed;STORE01567;LS;E01;0,81;Full Shop;Evening
200651;2007-02-15;Thursday;16;3;PRD0900432;CL00070;DEP00020;G00007;D00002;CUST0000439842;AZ;DI;994104500448551;L;LA;Fresh;STORE01338;LS;N02;1,29;Top Up;Evening
200737;2007-11-09;Friday;10;1;PRD0903764;CL00214;DEP00071;G00022;D00005;CUST0000017641;BG;DI;994108300174387;L;MM;Mixed;STORE02447;LS;E02;0,53;Full Shop;Afternoon
200643;2006-12-21;Thursday;15;1;PRD0900259;CL00094;DEP00029;G00008;D00002;CUST0000158390;CT;AT;994103700312663;L;MM;Grocery;STORE01336;LS;N03;0,45;Full Shop;Evening
200819;2008-07-02;Wednesday;11;1;PRD0903923;CL00083;DEP00023;G00007;D00002;CUST0000398924;BG;AT;994111700427910;L;UM;Fresh;STORE00471;LS;S01;1,66;Top Up;Afternoon
200806;2008-04-06;Sunday;13;1;PRD0902469;CL00100;DEP00033;G00009;D00002;CUST0000912697;AZ;BU;994110400690353;M;LA;Fresh;STORE00299;SS;S02;3,15;Top Up;Evening
200703;2007-03-14;Wednesday;19;6;PRD0904939;CL00007;DEP00003;G00002;D00001;CUST0000129086;BG;EQ;994104900249825;L;MM;Mixed;STORE00107;LS;N01;6,72;Top Up;Night
200622;2006-07-29;Saturday;21;1;PRD0904887;CL00041;DEP00011;G00004;D00002;;;;994101600028604;M;UM;Fresh;STORE00114;SS;N03;1,02;Small Shop;Night
200706;2007-04-08;Sunday;16;1;PRD0902213;CL00160;DEP00054;G00016;D00003;CUST0000452805;CT;DI;994105200453437;L;MM;Fresh;STORE00573;XLS;N02;1,87;Full Shop;Evening
200726;2007-08-21;Tuesday;14;9;PRD0904743;CL00070;DEP00020;G00007;D00002;;;;994107200105534;L;LA;Fresh;STORE00773;LS;W02;2,07;Top Up;Evening
200801;2008-02-26;Tuesday;15;1;PRD0903244;CL00197;DEP00067;G00021;D00005;CUST0000866068;AZ;EQ;994109900737006;S;MM;Nonfood;STORE02191;LS;N03;3,74;Small Shop;Evening
200728;2007-09-09;Sunday;20;1;PRD0901110;CL00136;DEP00048;G00013;D00003;CUST0000339837;BG;DI;994107400394633;M;UM;Fresh;STORE00637;MS;W01;1,89;Small Shop;Night
200722;2007-07-27;Friday;13;1;PRD0903611;CL00074;DEP00021;G00007;D00002;CUST0000394577;BG;DI;994106800428613;L;UM;Mixed;STORE01243;LS;S01;1,64;Full Shop;Evening
200749;2008-02-01;Friday;13;1;PRD0900507;CL00142;DEP00050;G00014;D00003;CUST0000830365;BG;AT;994109500690786;L;UM;Mixed;STORE01923;LS;E01;0,68;Full Shop;Evening
200629;2006-09-15;Friday;21;1;PRD0901228;CL00078;DEP00022;G00007;D00002;CUST0000325297;AZ;BU;994102300369633;L;MM;Fresh;STORE02191;LS;N03;0,72;Full Shop;Night
200717;2007-06-24;Sunday;17;1;PRD0904828;CL00067;DEP00019;G00007;D00002;CUST0000041934;AZ;EQ;994106300196416;L;LA;Fresh;STORE01546;LS;W02;1,6;Top Up;Evening
200811;2008-05-09;Friday;14;1;PRD0900854;CL00202;DEP00067;G00021;D00005;CUST0000289770;BG;DI;994110900355169;L;UM;Fresh;STORE01867;LS;E03;3,06;Top Up;Evening
200714;2007-06-01;Friday;10;1;PRD0903682;CL00129;DEP00046;G00013;D00003;CUST0000085493;AZ;EQ;994106000222575;L;MM;Mixed;STORE01923;LS;E01;1,49;Full Shop;Afternoon
200626;2006-08-26;Saturday;17;1;PRD0903052;CL00031;DEP00008;G00004;D00002;;;;994102000058578;M;UM;Fresh;STORE00470;LS;S01;1,0;Top Up;Evening
200707;2007-04-15;Sunday;11;1;PRD0904250;CL00045;DEP00011;G00004;D00002;CUST0000931095;CT;BU;994105300753236;L;MM;Fresh;STORE02648;LS;N03;2,49;Full Shop;Afternoon
200652;2007-02-20;Tuesday;18;1;PRD0901068;CL00058;DEP00016;G00006;D00002;;;;994104600047255;L;UM;Mixed;STORE02031;MS;N02;3,83;Full Shop;Evening
200640;2006-12-01;Friday;20;3;PRD0901766;CL00140;DEP00049;G00014;D00003;;;;994103400082962;M;UM;Grocery;STORE02747;MS;N03;7,62;Small Shop;Night
200643;2006-12-18;Monday;18;1;PRD0904119;CL00147;DEP00051;G00015;D00003;;;;994103700086141;L;MM;Grocery;STORE01980;LS;N02;1,03;Top Up;Evening
200815;2008-06-02;Monday;14;1;PRD0902433;CL00219;DEP00073;G00023;D00005;CUST0000596743;BG;BU;994111300555771;L;MM;Fresh;STORE02619;LS;S02;0,86;Top Up;Evening
200634;2006-10-21;Saturday;12;1;PRD0900121;CL00063;DEP00019;G00007;D00002;CUST0000566858;CT;BU;994102800515443;L;MM;Fresh;STORE02751;MS;N01;0,98;Top Up;Afternoon
200815;2008-06-03;Tuesday;11;1;PRD0904207;CL00015;DEP00004;G00003;D00001;CUST0000431290;CT;BU;994111300448858;L;MM;Fresh;STORE02461;LS;S02;1,81;Top Up;Afternoon
200649;2007-01-29;Monday;11;5;PRD0903678;CL00222;DEP00076;G00023;D00005;CUST0000332383;BG;;994104300377670;L;UM;Fresh;STORE01419;LS;N01;0,05;Top Up;Afternoon
200806;2008-04-02;Wednesday;14;1;PRD0902967;CL00123;DEP00044;G00012;D00003;;;;994110400021564;L;LA;Mixed;STORE02564;MS;S02;3,22;Top Up;Evening
200726;2007-08-26;Sunday;10;1;PRD0901689;CL00235;DEP00083;G00028;D00008;CUST0000811559;CT;CZ;994107200712398;L;UM;Grocery;STORE01508;MS;N03;10,31;Top Up;Afternoon
200703;2007-03-14;Wednesday;11;1;PRD0902254;CL00073;DEP00021;G00007;D00002;CUST0000661544;AZ;DI;994104900603695;L;MM;Fresh;STORE01336;LS;N03;0,41;Full Shop;Afternoon
200709;2007-04-23;Monday;15;1;PRD0903040;CL00064;DEP00019;G00007;D00002;CUST0000047095;BG;BU;994105500200329;L;LA;Fresh;STORE00402;LS;S02;1,64;Small Shop;Evening
200741;2007-12-07;Friday;18;1;PRD0901602;CL00217;DEP00072;G00023;D00005;CUST0000585322;CT;DI;994108700542318;S;MM;Nonfood;STORE02847;LS;N01;0,01;Small Shop;Evening
